mergeout,doc,corpus,dir.path,child.age,age_check,type,,,,,,,,
Brent_i1,Brent/i1-1508,Brent,Brent/i1,1;3.08,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-0908,Brent,Brent/j1,0;9.08,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-0922,Brent,Brent/j1,0;9.22,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1005,Brent,Brent/j1,0;10.05,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1023,Brent,Brent/j1,0;10.23,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1106,Brent,Brent/j1,0;11.06,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1201,Brent,Brent/j1,1;0.01,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1318,Brent,Brent/j1,1;1.18,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1115,Brent,Brent/j1,0;11.15,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1214,Brent,Brent/j1,1;0.14,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1323,Brent,Brent/j1,1;1.23,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1415,Brent,Brent/j1,1;2.15,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1420,Brent,Brent/j1,1;2.20,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1229,Brent,Brent/j1,1;0.29,yes,merge_pnt_age,,,,,,,,
Brent_j1,Brent/j1-1505,Brent,Brent/j1,1;3.05,yes,merge_pnt_age,,,,,,,,
Brent_m2,Brent/m2-1013,Brent,Brent/m2,0;10.13,yes,merge_pnt_age,,,,,,,,
Brent_m2,Brent/m2-1027,Brent,Brent/m2,0;10.27,yes,merge_pnt_age,,,,,,,,
Brent_m2,Brent/m2-0928,Brent,Brent/m2,0;9.28,yes,merge_pnt_age,,,,,,,,
Brent_m2,Brent/m2-1113,Brent,Brent/m2,0;11.13,yes,merge_pnt_age,,,,,,,,
Brent_m2,Brent/m2-1311,Brent,Brent/m2,1;1.11,yes,merge_pnt_age,,,,,,,,
Brent_m2,Brent/m2-1322,Brent,Brent/m2,1;1.22,yes,merge_pnt_age,,,,,,,,
Brent_m2,Brent/m2-0907,Brent,Brent/m2,0;9.07,yes,merge_pnt_age,,,,,,,,
Brent_m2,Brent/m2-1223,Brent,Brent/m2,1;0.23,yes,merge_pnt_age,,,,,,,,
Brent_m2,Brent/m2-1413,Brent,Brent/m2,1;2.13,yes,merge_pnt_age,,,,,,,,
Brent_m2,Brent/m2-1504,Brent,Brent/m2,1;3.04,yes,merge_pnt_age,,,,,,,,
Brent_q1,Brent/q1-0928,Brent,Brent/q1,0;9.28,yes,merge_pnt_age,,,,,,,,
Brent_q1,Brent/q1-1026,Brent,Brent/q1,0;10.26,yes,merge_pnt_age,,,,,,,,
Brent_q1,Brent/q1-0900,Brent,Brent/q1,0;9.00,yes,merge_pnt_age,,,,,,,,
Brent_q1,Brent/q1-1109,Brent,Brent/q1,0;11.09,yes,merge_pnt_age,,,,,,,,
Brent_q1,Brent/q1-1128,Brent,Brent/q1,0;11.28,yes,merge_pnt_age,,,,,,,,
Brent_q1,Brent/q1-1405,Brent,Brent/q1,1;2.05,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-0902,Brent,Brent/s1,0;9.02,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-0919,Brent,Brent/s1,0;9.19,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1001,Brent,Brent/s1,0;10.01,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1015,Brent,Brent/s1,0;10.15,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1029,Brent,Brent/s1,0;10.29,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1113,Brent,Brent/s1,0;11.13,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1126,Brent,Brent/s1,0;11.26,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1210,Brent,Brent/s1,1;0.10,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1224,Brent,Brent/s1,1;0.24,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1308,Brent,Brent/s1,1;1.08,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1322,Brent,Brent/s1,1;1.22,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1406,Brent,Brent/s1,1;2.06,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1424,Brent,Brent/s1,1;2.24,yes,merge_pnt_age,,,,,,,,
Brent_s1,Brent/s1-1500,Brent,Brent/s1,1;3.01,yes,merge_pnt_age,,,,,,,,
Brent_s2,Brent/s2-0905,Brent,Brent/s2,0;9.05,yes,merge_pnt_age,,,,,,,,
Brent_s2,Brent/s2-0921,Brent,Brent/s2,0;9.21,yes,merge_pnt_age,,,,,,,,
Brent_s2,Brent/s2-1004,Brent,Brent/s2,0;10.04,yes,merge_pnt_age,,,,,,,,
Brent_s2,Brent/s2-1105,Brent,Brent/s2,0;11.05,yes,merge_pnt_age,,,,,,,,
Brent_s2,Brent/s2-1206,Brent,Brent/s2,1;0.06,yes,merge_pnt_age,,,,,,,,
Brent_s2,Brent/s2-1222,Brent,Brent/s2,1;0.22,yes,merge_pnt_age,,,,,,,,
Brent_s2,Brent/s2-1309,Brent,Brent/s2,1;1.09,yes,merge_pnt_age,,,,,,,,
Brent_s2,Brent/s2-1320,Brent,Brent/s2,1;1.20,yes,merge_pnt_age,,,,,,,,
Brent_s2,Brent/s2-1404,Brent,Brent/s2,1;2.04,yes,merge_pnt_age,,,,,,,,
Brent_s2,Brent/s2-1420,Brent,Brent/s2,1;2.20,yes,merge_pnt_age,,,,,,,,
