#Version 2.1 - Updated by Alex Cristia 2015-08-31
agey     .eGi -w
begins         .bIgInz -w
begun          .bIgAn -w
behaved        .bihevd -w
behavior       .bIhevyR -w
behind         .bIh9nd -w
being          .biIN -w
beings         .biINz -w
bella           .bEl6 -w
bella's           .bEl6z -w
belch           .bElc -w
belches       .bElc6z -w
belief         .bIlif -w
beliefs         .bIlifs -w
believe        .bIliv -w
believed        .bIlivd -w
believes       .bIlivz -w
bell           .bEl -w
bellies       .bEliz -w
belligerent     .bElIGR~t -w
bellowed        .bElod -w
bells           .bElz -w
belly          .bEli -w
bellybutton   .bElibAt~ -w
belong          .bilON -w
belongs        .bIlON -w
below           .bIlo -w
belt           .bElt -w
belts          .bElts -w
ben            .bEn -w
ben's         .bEnz -w
bench         .bEnc -w
bend          .bEnd -w
bended       .bEnd6d -w
bending     .bEndIN -w
beneath       .bIniT -w
benjamin     .bEnG6mIn -w
benny          .bEni -w
bent          .bEnt -w
berries       .b*iz -w
berry          .b*i -w
bert           .b3t -w
bert's         .b3ts -w
bertha's       .b3T6z -w
beside         .bIs9d -w
besides        .bIs9dz -w
best           .bEst -w
bestest      .bEstEst -w
bet            .bEt -w
beth           .bET -w
better         .bEtR -w
betty          .bEti -w
between        .bItwin -w
beverage     .bEvR6G -w
beyond         .biand -w
bib            .bIb -w
bibbie       .bIbi -w
bible          .b9bL -w
bibs           .bIbz -w
bicycle        .b9sIkL -w
bid              .bId -w
big            .bIg -w
bigger         .bIgR -w
biggest        .bIgIst -w
bike          .b9k -w
bike's        .b9ks -w
bikes          .b9ks -w
bill           .bIl -w
bills          .bIlz -w
billy           .bIli -w
bin            .bIn -w
bind            .b9nd -w
binder            .b9ndR -w
bing@o     .bIN -w
bingo       .bINgo -w
binkie        .bINki -w
binkies       .bINkiz -w
binoculars    .b9nAkyulRz -w
binya          .bIny6 -w
bird           .b3d -w
bird's          .b3dz -w
birdfeeder      .b3dfidR -w
birdie         .b3di -w
birdie's       .b3diz -w
birdies        .b3diz -w
birds          .b3dz -w
birth         .b3T -w
birthday       .b3Tde -w
biscuit        .bIskIt -w
biscuits        .bIskIts -w
bit            .bIt -w
bite           .b9t -w
bites          .b9ts -w
biting         .b9tIN -w
bits           .bIts -w
bitsy         .bItsi -w
bitter          .bItR -w
bitty             .bIti -w
black          .bl&k -w
blacks          .bl&ks -w
blackberries     .bl&kb*iz -w
blackberry        .bl&kb*i -w
blackbird          .bl&kb3d -w
blackbirds        .bl&kb3dz -w
blade           .bled -w
blades         .bledz -w
blah          .bla -w
blame       .blem -w
blank         .bl&Nk -w
blanket        .bl&NkIt -w
blanketie       .bl&NkIti -w
blankets        .bl&NkIts -w
blankie       .bl&Nki -w
blankies       .bl&Nkiz -w
blast          .bl&st -w
bleach        .blic -w
bleached      .blict -w
bleaching       .blicIN -w
bleed             .blid -w
blend           .blEnd -w
blends         .blEndz -w
bless          .blEs -w
blessed        .blEst -w
blessing       .blEsIN -w
blessings       .blEsINz -w
blew           .blu -w
blind          .bl9nd -w
blinds          .bl9ndz -w
blink           .blINk -w
blinking      .blINkIN -w
block          .blak -w
block's        .blaks -w
blockbuster    .blakbAstR -w
blocked       .blakt -w
blockhead      .blakhEd -w
blockie          .blaki -w
blockies         .blakiz -w
blocking        .blakIN -w
blocks         .blaks -w
blond       .bland -w
blonde      .bland -w
blood        .blAd -w
bloom       .blum -w
blooming   .blumIN -w
blossomed       .blasMd -w
blouse         .blQs -w
blow           .blo -w
blowing      .blowIn -w
blows           .bloz -w
blowup       .bloAp -w
blue           .blu -w
blue's        .bluz -w
blueberries    .blub*iz -w
blueberry      .blub*i -w
blush          .blAS -w
blustery      .blAstRi -w
bo      .bo -w
board     .b%d -w
boarded     .b%d6d -w
boat           .bot -w
boats          .bots -w
bob            .bab -w
bobbing      .babIN -w
bobbling      .babLIN -w
bobby          .babi -w
bobo             .bobo -w
boboneen       .bobonin -w
boboni          .boboni -w
